"DateTime","Players","Flags","Twitch Viewers"
"2019-10-01 00:00:00",214100,,114433
"2019-10-02 00:00:00",226651,,72718
"2019-10-03 00:00:00",222902,,42172
"2019-10-04 00:00:00",226760,,40579
"2019-10-05 00:00:00",292402,,223409
"2019-10-06 00:00:00",292513,,164272
"2019-10-07 00:00:00",216149,,35326
"2019-10-08 00:00:00",222182,,35160
"2019-10-09 00:00:00",209534,,28181
"2019-10-10 00:00:00",197763,,22472
"2019-10-11 00:00:00",217877,,27725
"2019-10-12 00:00:00",262171,,21961
"2019-10-13 00:00:00",252895,,19192
"2019-10-14 00:00:00",206693,,24680
"2019-10-15 00:00:00",205283,,27772
"2019-10-16 00:00:00",192577,,21444
"2019-10-17 00:00:00",182165,,17656
"2019-10-18 00:00:00",197539,,29469
"2019-10-19 00:00:00",233397,,24636
"2019-10-20 00:00:00",226931,,19419
"2019-10-21 00:00:00",169246,,20448
"2019-10-22 00:00:00",192174,,28824
"2019-10-23 00:00:00",171542,,20206
"2019-10-24 00:00:00",161843,,21035
"2019-10-25 00:00:00",168894,,19649
"2019-10-26 00:00:00",194410,,14188
"2019-10-27 00:00:00",186033,,16802
"2019-10-28 00:00:00",141589,,13351
"2019-10-29 00:00:00",180495,,35875
"2019-10-30 00:00:00",168109,,23891
"2019-10-31 00:00:00",159832,,15214
"2019-11-01 00:00:00",172365,,14203
"2019-11-02 00:00:00",196352,,15115
"2019-11-03 00:00:00",183488,,15429
"2019-11-04 00:00:00",139713,,14794
"2019-11-05 00:00:00",134889,,16439
"2019-11-06 00:00:00",140865,,30656
"2019-11-07 00:00:00",135562,,15416
"2019-11-08 00:00:00",153737,,18687
"2019-11-09 00:00:00",183179,,14259
"2019-11-10 00:00:00",158722,,15467
"2019-11-11 00:00:00",132999,,11185
"2019-11-12 00:00:00",126458,,12913
"2019-11-13 00:00:00",128028,,11111
"2019-11-14 00:00:00",121683,,22764
"2019-11-15 00:00:00",131598,,11722
"2019-11-16 00:00:00",152650,,9280
"2019-11-17 00:00:00",149094,,28231
"2019-11-18 00:00:00",115977,,8989
"2019-11-19 00:00:00",113306,,19144
"2019-11-20 00:00:00",118462,,18784
"2019-11-21 00:00:00",112047,,11471
"2019-11-22 00:00:00",101066,,13179
"2019-11-23 00:00:00",150875,,11382
"2019-11-24 00:00:00",133753,,11776
"2019-11-25 00:00:00",103465,,11615
"2019-11-26 00:00:00",101142,,20091
"2019-11-27 00:00:00",114886,,10204
"2019-11-28 00:00:00",112931,,9725
"2019-11-29 00:00:00",120072,,10575
"2019-11-30 00:00:00",135553,,13297
